"id","model_id","model_type","collection_name","name","file_name","mime_type","disk","size","manipulations","custom_properties","order_column","created_at","updated_at"
"137","2636","App\\UserSubtaskSubmission","submissions","e3","e3.sh","text/x-shellscript","ceph-submission","519","[]","[]","135","2018-10-27 04:55:57","2018-10-27 04:55:57"
"138","2637","App\\UserSubtaskSubmission","submissions","nmap","nmap.py","text/x-python","ceph-submission","4993","[]","[]","136","2018-10-27 04:56:09","2018-10-27 04:56:09"
"139","2647","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","214","[]","[]","137","2018-10-27 05:11:47","2018-10-27 05:11:47"
"140","2650","App\\UserSubtaskSubmission","submissions","arch","arch.png","image/png","ceph-submission","87513","[]","[]","138","2018-10-27 05:16:23","2018-10-27 05:16:23"
"141","2651","App\\UserSubtaskSubmission","submissions","arch","arch.png","image/png","ceph-submission","87513","[]","[]","139","2018-10-27 05:16:33","2018-10-27 05:16:33"
"142","2652","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","78","[]","[]","140","2018-10-27 05:18:02","2018-10-27 05:18:02"
"143","2653","App\\UserSubtaskSubmission","submissions","port_scan","port_scan.sh","text/x-shellscript","ceph-submission","4185","[]","[]","141","2018-10-27 05:19:42","2018-10-27 05:19:42"
"144","2658","App\\UserSubtaskSubmission","submissions","Firewall_Script","Firewall_Script.txt","text/x-shellscript","ceph-submission","960","[]","[]","142","2018-10-27 05:22:40","2018-10-27 05:22:40"
"145","2660","App\\UserSubtaskSubmission","submissions","test","test.sh","text/x-shellscript","ceph-submission","1615","[]","[]","143","2018-10-27 05:22:48","2018-10-27 05:22:48"
"146","2663","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","737","[]","[]","144","2018-10-27 05:23:48","2018-10-27 05:23:48"
"147","2665","App\\UserSubtaskSubmission","submissions","Nmapper","Nmapper.java","text/x-c","ceph-submission","3968","[]","[]","145","2018-10-27 05:25:07","2018-10-27 05:25:07"
"148","2666","App\\UserSubtaskSubmission","submissions","test","test.sh","text/x-shellscript","ceph-submission","757","[]","[]","146","2018-10-27 05:25:16","2018-10-27 05:25:16"
"149","2667","App\\UserSubtaskSubmission","submissions","Readme","Readme.txt","text/plain","ceph-submission","186","[]","[]","147","2018-10-27 05:28:07","2018-10-27 05:28:07"
"150","2669","App\\UserSubtaskSubmission","submissions","script","script.txt","text/plain","ceph-submission","482","[]","[]","148","2018-10-27 05:34:52","2018-10-27 05:34:52"
"151","2671","App\\UserSubtaskSubmission","submissions","Readme","Readme.txt","text/plain","ceph-submission","690","[]","[]","149","2018-10-27 05:36:22","2018-10-27 05:36:22"
"152","2674","App\\UserSubtaskSubmission","submissions","port_scan","port_scan.sh","text/x-shellscript","ceph-submission","556","[]","[]","150","2018-10-27 05:43:51","2018-10-27 05:43:51"
"153","2675","App\\UserSubtaskSubmission","submissions","readmeme","readmeme.txt","text/plain","ceph-submission","445","[]","[]","151","2018-10-27 05:44:15","2018-10-27 05:44:15"
"154","2677","App\\UserSubtaskSubmission","submissions","firewall_test","firewall_test.txt","text/x-shellscript","ceph-submission","815","[]","[]","152","2018-10-27 05:47:09","2018-10-27 05:47:09"
"155","2681","App\\UserSubtaskSubmission","submissions","script","script.txt","text/x-shellscript","ceph-submission","533","[]","[]","153","2018-10-27 05:51:45","2018-10-27 05:51:45"
